youtube_id,title,publishedAt,channel_name
zqbaUvgyydM,New Hampshire State Board of Education Meeting 10/10/2023,2023-10-12T18:24:36Z,Reaching Higher NH
bUmZCAQzGqI,New Hampshire State Board of Education 09/14/2023,2023-09-15T01:59:08Z,Reaching Higher NH
ReUZ3j1k8dw,"The New Hampshire State Board of Education meeting April 6, 2017, part 2",2017-04-08T14:52:29Z,Reaching Higher NH
bsiCyfbPDMY,"New Hampshire State Board of Education Meeting, April 6, 2017",2017-04-07T22:16:43Z,Reaching Higher NH
dV5FhXzyHLo,"Nevada State Board of Education Meeting - November 1st, 2023, at 2:00PM",2023-11-02T01:41:13Z,Nevada Department of Education
WD0eHBuNPhc,"Nevada State Board of Education Meeting - October 4th, 2023, at 2:00PM",2023-10-05T02:29:05Z,Nevada Department of Education
QWRqlaM-dAk,National Board Certified Teachers - Leading from Their Classrooms,2023-09-21T03:03:02Z,Nevada Department of Education
45dpxhzuO1Y,"Nevada State Board of Education Meeting - September 6th, 2023",2023-09-07T01:46:20Z,Nevada Department of Education
TtzK17xgnPo,"Nevada State Board of Education Meeting - December 6th, 2023, at 2:00PM",2023-08-15T18:08:20Z,Nevada Department of Education
C5UMlPAnvZQ,Unit 3 Lesson 15:   Keyboard Input,2023-08-11T07:00:54Z,Nevada Department of Education
_u0yQkJNWr0,Mindset Reset with Collaborative Boards,2021-02-18T01:39:44Z,Nevada Department of Education
UwN2ySHCEBA,"State Board of Education Retreat - Day 2 - April 27, 2021",2021-05-14T18:35:47Z,Georgia Department of Education
3yiIvYjKe2Q,"State Board of Education Retreat - Day 1 - April 26, 2021",2021-05-14T18:31:30Z,Georgia Department of Education
CM0x3PdRIeQ,State Board of Education Hearing - District 1,2015-03-19T19:44:23Z,Georgia Department of Education
RXgJ5H78kko,October 2023 Board of Regents Meeting,2023-11-02T20:23:04Z,Louisiana Board of Regents
i3WYgZbZmyc,September 2023 Board of Regents Meetings,2023-09-20T22:00:49Z,Louisiana Board of Regents
k-y8EkKyP8Y,August 2023 Board of Regents Meetings,2023-08-23T22:53:11Z,Louisiana Board of Regents
Cv9XjNLszks,June 2023 Board of Regents Meeting,2023-06-15T17:49:43Z,Louisiana Board of Regents
HmWSXhQvZME,April 2023 Board Meeting,2023-04-27T00:41:35Z,Louisiana Board of Regents
1ukNgzleh88,March 2023 Board Meeting,2023-03-23T16:04:57Z,Louisiana Board of Regents
Bn20xMJL0Nc,January 2023 Board Meeting,2023-02-28T17:57:31Z,Louisiana Board of Regents
lVAH0CKsMOA,October 2022 Board of Regents Meeting as a Committee of the Whole,2022-10-20T19:33:16Z,Louisiana Board of Regents
qfoXczcutyo,September 2022 Committee and Board of Regents Meetings,2022-09-21T21:04:11Z,Louisiana Board of Regents
BE44m-njsP4,"August 2022 LATTA, Committee, and Board of Regents Meetings",2022-08-26T00:29:46Z,Louisiana Board of Regents
-rtBGo_oG_A,June 2022 Board Meeting,2022-06-22T18:11:32Z,Louisiana Board of Regents
-RcsgnDbOKQ,Louisiana Board of Regents Prior Learning Assessment Policy Webinar (April 2022),2022-05-13T00:48:41Z,Louisiana Board of Regents
8lYImwdD_zo,"April 2022 LATTA, Committee, and Board of Regents Meetings",2022-04-28T20:43:24Z,Louisiana Board of Regents
8AMemwdLAZ8,March 2022 Committee and Board of Regents Meetings,2022-03-23T20:51:42Z,Louisiana Board of Regents
80BL5tM9u78,February 2022 Committee and Board of Regents Meetings,2022-02-24T17:34:57Z,Louisiana Board of Regents
T65YZppMoCs,January 2022 Regents Board Meeting,2022-01-07T19:49:35Z,Louisiana Board of Regents
1EEXAbB5oSw,October 2021 Regents Board Meeting,2021-10-21T20:11:42Z,Louisiana Board of Regents
WqsqbhY9Ekk,September 2021 Board Meeting,2021-09-23T03:32:01Z,Louisiana Board of Regents
NoSiBkYJpZg,August 2021 Board Meeting,2021-08-26T04:24:02Z,Louisiana Board of Regents
qoWyDqPhYsM,Louisiana Board of Regents Live Stream,2021-08-18T19:40:05Z,Louisiana Board of Regents
47WNEB7SCjM,Statewide Dual Enrollment Update Webinar with Board of Regents/Department of Education,2021-05-06T16:51:13Z,Louisiana Board of Regents
uWB3VXOp7ew,April 2021 Regents Board Meeting,2021-05-03T18:11:49Z,Louisiana Board of Regents
ZlBcgmdws-A,March Board of Regents Meeting - 2021,2021-03-25T06:00:17Z,Louisiana Board of Regents
mfaVSWAyrMg,February Board of Regents Meeting 02/24/2021,2021-02-25T06:05:15Z,Louisiana Board of Regents
U8vuJkJcClA,January Board Meeting,2021-01-07T06:17:47Z,Louisiana Board of Regents
sr4PwdVHdkU,2020 December Board of Regents Meeting,2020-12-23T18:36:12Z,Louisiana Board of Regents
x5wP4P23w_Q,"October Board Meeting - Oct 21, 2020",2020-10-22T05:33:48Z,Louisiana Board of Regents
xDB6K_i-JZM,September Budget Hearing and Board Meeting,2020-09-23T18:25:10Z,Louisiana Board of Regents
uEbsb4i70ck,September Budget Hearing and Board Meeting,2020-09-23T17:48:06Z,Louisiana Board of Regents
3mjwGS8ZXck,September Budget Hearing and Board Meeting - 2020,2020-09-22T20:53:16Z,Louisiana Board of Regents
RmSjAZmLH2M,Introduction to the Board of Regents Support Fund,2020-09-03T22:38:51Z,Louisiana Board of Regents
FpkgIPIOayM,August Board Meetings (9am -Joint BESE; 10:15am -LATTA; 10:30am -BoR),2020-08-13T17:39:42Z,Louisiana Board of Regents
W7xdYPuTUPY,June Board of Regents Meeting,2020-06-17T17:34:05Z,Louisiana Board of Regents
